algorithm,model_variant,analysis,population,feature_set,split_protocol,evaluation_split,threshold_source,threshold,n_train,n_validation,n_test,train_positive_rate,validation_positive_rate,test_positive_rate,best_iteration,roc_auc,pr_auc,balanced_accuracy,f1,precision,recall,log_loss,brier_score
LogisticRegression,balanced,family_group_robustness,Global,M0,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.7403528996132621,0.5065695840569437,0.713274057207066,0.6270869244028564,0.5291636363636364,0.7694817948330563,0.5838423679569673,0.202541243598983
LogisticRegression,balanced,family_group_robustness,Global,M0,family,test,validation_balanced_accuracy,0.34,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.7403528996132621,0.5065695840569437,0.713274057207066,0.6270869244028564,0.5291636363636364,0.7694817948330563,0.5838423679569673,0.202541243598983
LogisticRegression,balanced,family_group_robustness,Global,M0b,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.7849480312520992,0.5812083976313969,0.7461382256320328,0.6627257227483728,0.5634178340175209,0.8045324067079619,0.5443388964566154,0.18487545645778267
LogisticRegression,balanced,family_group_robustness,Global,M0b,family,test,validation_balanced_accuracy,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.7849480312520992,0.5812083976313969,0.7461382256320328,0.6627257227483728,0.5634178340175209,0.8045324067079619,0.5443388964566154,0.18487545645778267
LogisticRegression,balanced,family_group_robustness,Global,M1,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8284791560532585,0.6369599326761676,0.7752224123187879,0.6961511693564272,0.6156115007664081,0.8009366973863121,0.49644269321621676,0.1671987929904886
LogisticRegression,balanced,family_group_robustness,Global,M1,family,test,validation_balanced_accuracy,0.6,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8284791560532585,0.6369599326761676,0.7755979034032552,0.6968097071705504,0.6198502754366967,0.7955884574709171,0.49644269321621676,0.1671987929904886
LogisticRegression,balanced,family_group_robustness,Global,M2,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8977445289347483,0.8197670848533767,0.8305763516403843,0.7700143659396631,0.7407448768775476,0.8016920985043058,0.3974113520126413,0.12455918258255325
LogisticRegression,balanced,family_group_robustness,Global,M2,family,test,validation_balanced_accuracy,0.5800000000000001,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8977445289347483,0.8197670848533767,0.8317652197411023,0.7745799417519229,0.7658298877731837,0.7835322556277383,0.3974113520126413,0.12455918258255325
LogisticRegression,balanced,family_group_robustness,Global,M3,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9107221852365733,0.8439878492174765,0.8419923324580021,0.7837079056106656,0.7485011825532148,0.8223900891373319,0.3760983997850664,0.11696391932762981
LogisticRegression,balanced,family_group_robustness,Global,M3,family,test,validation_balanced_accuracy,0.52,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9107221852365733,0.8439878492174765,0.8420791001210612,0.7845091024954017,0.7533377837116155,0.8183713551896057,0.3760983997850664,0.11696391932762981
LogisticRegression,balanced,family_group_robustness,Global,M4,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9112159603787781,0.8438227074879519,0.8428765363605035,0.7848053892215568,0.7494020947301867,0.8237195951050007,0.3751500721738644,0.11651402617000664
LogisticRegression,balanced,family_group_robustness,Global,M4,family,test,validation_balanced_accuracy,0.53,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.9112159603787781,0.8438227074879519,0.8430117048462327,0.7862683178834932,0.7583796530234125,0.8162864481039432,0.3751500721738644,0.11651402617000664
LogisticRegression,balanced,family_group_robustness,Global,M5,family,test,fixed_0.5,0.5,462786,99169,99169,0.33371147787530303,0.3337232401254424,0.3337232401254424,,0.8223892181978222,0.6286513829168304,0.7921363150619309,0.7203451995685005,0.6873730441943453,0.7566399758271642,0.4973231091414915,0.162113523644907
